label,n_trades,n_events,mean_ret,ci_lo,ci_hi,p_le0,hit_rate,total_pnl_per_$1_stakes,max_concurrent_stakes,ann_ret_on_capital,sharpe_ann_weekly,n_weeks,max_drawdown_$,median_market_volume,span_days,cell
fav θ=0.97 W=1d yes,212,202,-0.0007005340250199473,-0.015547717399819467,0.00919332425187355,0.576,0.9905660377358491,-0.14851321330422884,31,-0.0025342330368643647,-0.09341541476593646,69,-1.8167865993124597,236812.17763350002,690.0009953703703,fav θ=0.97 W=1d yes
fav θ=0.97 W=1d both,1063,894,-0.009460653281510679,-0.017434738627101376,-0.0020792453323339377,0.9945,0.9830667920978363,-10.056674438245851,83,-0.06281971700838615,-1.7028587521466054,94,-11.332558726594934,229292.502266,704.0008564814815,fav θ=0.97 W=1d both
fav θ=0.97 W=3d both,2279,1690,-0.01396103616527548,-0.020673361475101484,-0.0076817660404990586,1.0,0.9771829749890303,-31.81720142066282,100,-0.16310765876125083,-2.3210316041946415,99,-32.734997177624635,248834.150375,712.0008101851852,fav θ=0.97 W=3d both
fav θ=0.97 W=1d no,864,755,-0.011343145264711347,-0.020715289494126696,-0.002971107806015246,0.99525,0.9814814814814815,-9.800477508710603,62,-0.08230568913149204,-1.8529819003489123,91,-10.490415237766333,228466.06307849998,701.0008680555555,fav θ=0.97 W=1d no
fav θ=0.97 W=3d no,1950,1480,-0.014918602167643178,-0.02245849683095788,-0.008333951960201317,1.0,0.9764102564102564,-29.091274226904197,88,-0.16970820536461992,-2.3611788795691204,97,-29.901790657336058,243121.465182,711.0008101851852,fav θ=0.97 W=3d no
fav θ=0.97 W=7d both,2835,2097,-0.01800679363108033,-0.024714257646107976,-0.011807924602020814,1.0,0.9717813051146384,-51.049259944112734,131,-0.19713974446172244,-2.4098833800959962,100,-52.50217455851815,266500.700608,721.5008217592592,fav θ=0.97 W=7d both
fav θ=0.97 W=7d no,2484,1871,-0.018989370793276887,-0.02587934628362503,-0.012248208280266187,1.0,0.9710144927536232,-47.16959705049979,117,-0.2039540524441612,-2.6019543133052037,100,-48.38078941991401,260746.81602949998,721.5008217592592,fav θ=0.97 W=7d no
fav θ=0.95 W=1d both,1451,1197,-0.01648708983621346,-0.0259261153524965,-0.008124137153321317,1.0,0.9717436250861475,-23.92276735234573,108,-0.1148437410170122,-2.112990027353798,98,-24.66801052687211,231999.075887,704.0008680555555,fav θ=0.95 W=1d both
fav θ=0.95 W=1d no,1167,1000,-0.01688157557360027,-0.026481539762456346,-0.007762005734045004,0.99975,0.9717223650385605,-19.700798694391516,71,-0.1444773562979828,-2.2342154741643143,95,-20.243762802028648,228833.631235,701.0008796296296,fav θ=0.95 W=1d no
fav θ=0.95 W=3d no,2270,1704,-0.019379840545558726,-0.027054056729190718,-0.0119585142088345,1.0,0.9665198237885463,-43.99223803841831,97,-0.23282364880140347,-2.723228325404577,98,-45.20675688258504,246138.786106,711.0008101851852,fav θ=0.95 W=3d no
fav θ=0.95 W=3d both,2679,1976,-0.02018656781703115,-0.027795112816406148,-0.013244270036519788,1.0,0.9652855543113102,-54.07981518182645,124,-0.22357636462738553,-2.506868404570936,100,-54.97071268299106,256014.654472,712.0008101851852,fav θ=0.95 W=3d both
fav θ=0.93 W=1d both,1738,1388,-0.020540117006973075,-0.030283956627839476,-0.011521467541625474,1.0,0.9631760644418872,-35.6987233581192,120,-0.15423790197994067,-2.5948622815554154,100,-36.211615026033456,234724.6637135,704.0008680555555,fav θ=0.93 W=1d both
fav θ=0.95 W=1d yes,314,301,-0.01229812120670155,-0.03128167178765721,0.003820023070276637,0.91125,0.9745222929936306,-3.8616100589042865,37,-0.0552089790951215,-0.8645152175475274,77,-4.906112055814438,244987.5887585,690.0011921296297,fav θ=0.95 W=1d yes
fav θ=0.93 W=1d no,1365,1136,-0.02181888877391382,-0.032500804186008155,-0.011871926749798669,1.0,0.9626373626373627,-29.782783176392364,80,-0.19384276424030136,-2.770366987690857,96,-30.214012823836516,230846.069382,701.0008796296296,fav θ=0.93 W=1d no
fav θ=0.97 W=3d yes,436,380,-0.015538778775621317,-0.032523362736984,-0.0014162470363920578,0.981,0.9747706422018348,-6.774907546170894,32,-0.11183238665444857,-0.9406982211849508,80,-8.25698859107725,222187.09372900001,691.0009837962963,fav θ=0.97 W=3d yes
fav θ=0.93 W=1d yes,418,396,-0.012465799058145127,-0.03253945796269863,0.004754913466880481,0.90675,0.9688995215311005,-5.210704006304663,40,-0.06807103411835115,-0.9680686563460259,83,-6.617366177142429,248378.063936,698.5008333333334,fav θ=0.93 W=1d yes
fav θ=0.93 W=3d no,2507,1872,-0.02734856563371455,-0.03585285612225147,-0.01931651902440301,1.0,0.9533306741124851,-68.56285404372238,103,-0.34172317410834185,-3.337515452093138,99,-69.30013192981296,248250.135171,711.0008101851852,fav θ=0.93 W=3d no
fav θ=0.95 W=7d no,2833,2122,-0.02895147710355101,-0.0368330971153457,-0.02130290861798129,1.0,0.954465231203671,-82.01953463436001,126,-0.32930838579681104,-3.3430400231775232,100,-83.00178877921458,259910.892146,721.5008217592592,fav θ=0.95 W=7d no
