label,n_trades,n_events,mean_ret,ci_lo,ci_hi,p_le0,hit_rate,total_pnl_per_$1_stakes,max_concurrent_stakes,ann_ret_on_capital,sharpe_ann_weekly,n_weeks,max_drawdown_$,median_market_volume,span_days,cell
mom δ=0.15 against hold=7d,4484,3511,-0.008983470809388907,-0.03834873110846333,0.02281492504566757,0.71925,0.45874219446922393,-40.28188310929986,187,-0.07073779303286855,-0.2317336453150944,113,-108.19692011831168,332717.9610475,1111.5001273148148,mom δ=0.15 against hold=7d
mom δ=0.05 against hold=7d,7355,5776,-0.01843441944912376,-0.04091599256973901,0.005116269920808874,0.93975,0.45846363018354863,-135.58515504830524,306,-0.142428350923883,-0.8461437303069927,118,-201.2875231823923,341079.137428,1135.499988425926,mom δ=0.05 against hold=7d
mom δ=0.1 against hold=7d,5878,4589,-0.01709125777472101,-0.043866474774327285,0.010565799905224358,0.8955,0.4533855052739027,-100.4624131998101,236,-0.13978962852829085,-0.6839796328313779,114,-154.95829354495478,336956.48331100005,1111.5001273148148,mom δ=0.1 against hold=7d
mom δ=0.1 against hold=res,5878,4589,-0.012036457668407035,-0.046085334966138786,0.022670974071170566,0.7665,0.4760122490643076,-70.75029817489656,879,-0.02267748525009801,-0.37014048849943076,129,-190.95745915190807,336956.48331100005,1295.4998611111112,mom δ=0.1 against hold=res
mom δ=0.05 with hold=res,7355,5776,-0.023592321210848356,-0.05162515940728352,0.004861466051902653,0.945,0.5114887831407205,-173.52152250578965,1098,-0.044525264000379615,-0.7496015267741023,129,-278.1077965525737,341079.137428,1295.4998611111112,mom δ=0.05 with hold=res
mom δ=0.15 against hold=res,4484,3511,-0.014340937458624872,-0.05339887596483489,0.025292447892178337,0.766,0.46297948260481714,-64.30476356447393,659,-0.027492436134834153,-0.37652098176908505,127,-154.70388552798164,332717.9610475,1295.4998611111112,mom δ=0.15 against hold=res
mom δ=0.05 against hold=res,7355,5776,-0.026714938488098458,-0.05647493295974111,0.0034045910692714846,0.95825,0.4885112168592794,-196.48837257996416,1098,-0.05041851025618997,-0.9742808260769702,129,-273.5262327784002,341079.137428,1295.4998611111112,mom δ=0.05 against hold=res
mom δ=0.05 against hold=3d,7355,5776,-0.041943083023441734,-0.05952195184652333,-0.024196129757275888,1.0,0.42542488103331066,-308.49137563741397,198,-0.5008221948920006,-2.2921212865060023,117,-323.0292479669164,341079.137428,1135.499988425926,mom δ=0.05 against hold=3d
mom δ=0.1 against hold=3d,5878,4589,-0.042886173744797515,-0.06481593281435762,-0.021237805525527575,0.99975,0.43620279006464785,-252.08492927191978,148,-0.5613507597495148,-2.3298087051887313,114,-278.62571576746615,336956.48331100005,1107.4999537037038,mom δ=0.1 against hold=3d
mom δ=0.15 against hold=3d,4484,3511,-0.044079568177171485,-0.06820578238038431,-0.019005643307623867,0.99875,0.43777876895628903,-197.65278370643694,106,-0.6145344270933198,-1.4542420865016072,114,-236.92838538593352,332717.9610475,1107.4999537037038,mom δ=0.15 against hold=3d
mom δ=0.05 with hold=7d,7355,5776,-0.06349287501019389,-0.08338200069300628,-0.04285454562581119,1.0,0.4228416043507818,-466.9900956999761,306,-0.49055981980208146,-2.9079945618224863,118,-469.70417110807807,341079.137428,1135.499988425926,mom δ=0.05 with hold=7d
mom δ=0.05 with hold=3d,7355,5776,-0.06810574666709132,-0.08465610608151586,-0.0508612352464819,1.0,0.37552685248130524,-500.91776673645666,198,-0.8132179866584436,-3.2786220203767438,117,-501.3961853837234,341079.137428,1135.499988425926,mom δ=0.05 with hold=3d
mom δ=0.1 with hold=res,5878,4589,-0.08713310729929899,-0.11324310614735705,-0.059596285050569034,1.0,0.5239877509356924,-512.1684047052795,879,-0.1641645582122974,-2.6130918117667563,129,-513.3957571381017,336956.48331100005,1295.4998611111112,mom δ=0.1 with hold=res
mom δ=0.1 with hold=3d,5878,4589,-0.10240843304332674,-0.11995573573793436,-0.08432433025853768,1.0,0.37750935692412385,-601.9567694286745,148,-1.3404565311822083,-5.04254017456555,114,-602.177041637981,336956.48331100005,1107.4999537037038,mom δ=0.1 with hold=3d
mom δ=0.1 with hold=7d,5878,4589,-0.10293538973490678,-0.12305487899411023,-0.08242470205403685,1.0,0.4295678802313712,-605.054220861782,236,-0.8419099450211379,-4.214954503226452,114,-604.7815317537257,336956.48331100005,1111.5001273148148,mom δ=0.1 with hold=7d
mom δ=0.15 with hold=3d,4484,3511,-0.14256772085785466,-0.16008205048010804,-0.1252193129335304,1.0,0.37355040142729706,-639.2736603266203,106,-1.9876050579088052,-5.585401491248832,114,-639.2433999762252,332717.9610475,1107.4999537037038,mom δ=0.15 with hold=3d
mom δ=0.15 with hold=res,4484,3511,-0.13655239913553005,-0.1626594418368745,-0.10898925500853934,1.0,0.5370205173951829,-612.3009577237167,659,-0.26177912867433434,-3.6476133562458126,127,-615.2242616817854,332717.9610475,1295.4998611111112,mom δ=0.15 with hold=res
mom δ=0.15 with hold=7d,4484,3511,-0.15408552342873677,-0.17449476798338745,-0.13378074931066228,1.0,0.42908117752007136,-690.9194870544557,187,-1.21330275312651,-5.029355472370229,113,-690.6467979463989,332717.9610475,1111.5001273148148,mom δ=0.15 with hold=7d
