label,n_trades,n_events,mean_ret,ci_lo,ci_hi,p_le0,hit_rate,total_pnl_per_$1_stakes,max_concurrent_stakes,ann_ret_on_capital,sharpe_ann_weekly,n_weeks,max_drawdown_$,median_market_volume,span_days,cell
fav θ=0.97 W=7d yes,51,51,0.011043704310811404,0.009022164405310278,0.013255904444035526,0.0,1.0,0.5632289198513816,5,0.06077701812833842,11.392343763007426,37,0.0,1912596.79054,676.5009606481482,fav θ=0.97 W=7d yes
fav θ=0.97 W=3d yes,43,43,0.010152585249443223,0.007856082501277567,0.012613011388800284,0.0,1.0,0.43656116572605863,5,0.04710852896272161,9.650637424674201,33,0.0,1924330.179731,676.5009606481482,fav θ=0.97 W=3d yes
fav θ=0.97 W=1d yes,30,30,0.00960788741636851,0.007195535150667072,0.012244830713149014,0.0,1.0,0.2882366224910553,3,0.05432803066829771,9.633394094644643,24,0.0,2539891.4188685,645.5008333333334,fav θ=0.97 W=1d yes
fav θ=0.97 W=3d both,240,170,-0.0017805926399918238,-0.018161845842363047,0.010790468497610842,0.57825,0.9875,-0.4273422335980377,14,-0.016146969656518743,-0.22710528537677288,64,-2.3545997474303113,1184836.045961,690.0008333333334,fav θ=0.97 W=3d both
fav θ=0.97 W=1d both,172,119,-0.0022531198067547984,-0.020720972117087507,0.009921293384986055,0.60425,0.9883720930232558,-0.38753660676182533,14,-0.014760580592490715,-0.26139408330519726,59,-1.5169575511709383,1091251.3989815,684.5010532407407,fav θ=0.97 W=1d both
fav θ=0.95 W=7d yes,71,71,0.009699935943641868,-0.022109251384971596,0.027026095470871217,0.25675,0.9859154929577465,0.6886954519985726,6,0.060894750793828216,0.7109296080020714,43,-1.0,1912596.79054,688.0008449074074,fav θ=0.95 W=7d yes
fav θ=0.97 W=7d both,282,195,-0.005641528831365734,-0.022856928538274746,0.008576123538268492,0.7355,0.9822695035460993,-1.5909111304451369,16,-0.052294837448865705,-0.651507765515979,68,-2.819612863645716,1255751.002471,694.0008217592592,fav θ=0.97 W=7d both
fav θ=0.97 W=3d no,203,144,-0.003896150832866471,-0.023155487305909522,0.011011872950360845,0.58175,0.9852216748768473,-0.7909186190718935,12,-0.034865331800473805,-0.435778711377615,60,-2.410815996514517,1115054.594909,690.0008333333334,fav θ=0.97 W=3d no
fav θ=0.97 W=1d no,146,99,-0.004556433854922689,-0.026787455560147857,0.009731192262697022,0.61025,0.9863013698630136,-0.6652393428187127,12,-0.029560748297275004,-0.4629201030392706,56,-1.5884482050029238,1054739.882144,684.5010532407407,fav θ=0.97 W=1d no
fav θ=0.97 W=7d no,244,166,-0.008065251111794805,-0.02731260429131948,0.008485383075103093,0.786,0.9795081967213115,-1.9679212712779326,15,-0.06900003972095317,-0.82524394501289,65,-2.9851695275336203,1149792.70357,694.0008217592592,fav θ=0.97 W=7d no
fav θ=0.9 W=3d both,305,208,-0.0036695864669995353,-0.03223682349299764,0.02037086429407193,0.58725,0.9606557377049181,-1.1192238724348582,25,-0.02341067196082468,-0.2204033409723488,71,-2.9209418087271093,1396218.24568,698.0008333333334,fav θ=0.9 W=3d both
fav θ=0.95 W=1d no,170,114,-0.007203726763138252,-0.03294888964601187,0.012221944815956095,0.73675,0.9764705882352941,-1.2246335497335028,16,-0.04013925401959954,-0.5802916035468973,59,-1.938501431256732,1070186.5873544998,696.0007986111111,fav θ=0.95 W=1d no
fav θ=0.9 W=3d no,252,175,-0.006733024455804255,-0.03356645887433223,0.016709451454374594,0.67925,0.9603174603174603,-1.6967221628626723,20,-0.04436267128535588,-0.4308748578075033,66,-3.415241900159786,1243630.6186345,698.0007870370371,fav θ=0.9 W=3d no
fav θ=0.95 W=3d yes,56,56,0.001039102924415451,-0.037892834741282924,0.022343940648764427,0.3895,0.9821428571428571,0.05818976376726526,5,0.006174197003467413,0.06494490554498387,38,-1.0,2059595.9886834999,688.0008449074074,fav θ=0.95 W=3d yes
fav θ=0.95 W=1d both,202,135,-0.008356439948948783,-0.038733397332867174,0.01304284290856983,0.70025,0.9752475247524752,-1.688000869687654,18,-0.04917940369566006,-0.5805595989939241,63,-2.5270506780403874,1199689.832684,696.0008449074074,fav θ=0.95 W=1d both
fav θ=0.95 W=7d both,322,217,-0.015453760636336605,-0.03949546320002008,0.0052869575342682175,0.918,0.9627329192546584,-4.976110924900387,22,-0.11794015099691812,-1.2197863871116263,70,-5.484352446828242,1381040.61119,700.0008333333334,fav θ=0.95 W=7d both
fav θ=0.95 W=3d both,272,188,-0.015209209923525032,-0.041099139826281564,0.006312726515809546,0.90775,0.9669117647058824,-4.136905099198809,20,-0.10816393685353039,-1.1205927769020196,68,-4.478734968515395,1317716.1739165,698.0008333333334,fav θ=0.95 W=3d both
fav θ=0.95 W=3d no,229,158,-0.01719798138092369,-0.04266106760912738,0.004801686557109029,0.92525,0.9650655021834061,-3.938337736231525,18,-0.11441353493044372,-1.3210834608405597,62,-4.247952171790708,1147942.533812,698.0007870370371,fav θ=0.95 W=3d no
fav θ=0.95 W=7d no,274,185,-0.018897913299509666,-0.04453897317160212,0.0032112601671091725,0.956,0.9598540145985401,-5.178028244065649,19,-0.1421036228653,-1.4823450069695117,67,-6.407997144348625,1242001.2562874998,700.0007870370371,fav θ=0.95 W=7d no
fav θ=0.9 W=3d yes,76,76,0.003188904788221872,-0.04762256151956246,0.04376833722679657,0.40125,0.9605263157894737,0.24235676390486227,7,0.01831472297916991,0.14379260725621115,44,-1.7949004944033013,1822572.8025854998,690.0008333333334,fav θ=0.9 W=3d yes
fav θ=0.9 W=7d both,355,241,-0.02101156639599849,-0.05069153234985595,0.006777304342042825,0.929,0.9352112676056338,-7.459106070579464,28,-0.1389066568676621,-1.2148244445146674,72,-8.121212547940367,1428553.036232,700.0008333333334,fav θ=0.9 W=7d both
fav θ=0.9 W=1d both,239,157,-0.017598465979787137,-0.051228599100278396,0.011920966731623848,0.84625,0.9497907949790795,-4.206033369169126,22,-0.10026125366341831,-0.9382054334229155,66,-4.680389776203002,1313624.428042,696.0008449074074,fav θ=0.9 W=1d both
fav θ=0.9 W=7d no,300,206,-0.021789256944392054,-0.051627102226429245,0.005161945899396141,0.93375,0.9366666666666666,-6.536777083317617,23,-0.1481938480017297,-1.330200675117155,71,-7.0326065993254,1340018.543541,700.0007870370371,fav θ=0.9 W=7d no
fav θ=0.93 W=3d both,292,201,-0.021634943551800765,-0.05199348965976449,0.0038248170236762713,0.94275,0.952054794520548,-6.317403517125824,21,-0.1573099693564239,-1.2442302745390328,70,-7.159522851746376,1340018.543541,698.0008333333334,fav θ=0.93 W=3d both
fav θ=0.93 W=7d yes,80,80,-0.002539891822880486,-0.053012426039314546,0.03650136490050064,0.543,0.9625,-0.20319134583043885,6,-0.017914191221534797,-0.12233422575893707,46,-1.7552340007294784,1726826.4645099998,690.0008333333334,fav θ=0.93 W=7d yes
fav θ=0.93 W=3d no,244,170,-0.02473672675960365,-0.05323858454703477,0.0017084805646667177,0.965,0.9508196721311475,-6.035761329343291,18,-0.1753462592437357,-1.5099151797892127,64,-7.013099857240747,1204161.1726095001,698.0007870370371,fav θ=0.93 W=3d no
fav θ=0.9 W=1d no,196,133,-0.02118585854906785,-0.05398574760367823,0.007183551710994829,0.9135,0.9489795918367347,-4.152428275617298,18,-0.12097977183238298,-1.2642698756067354,62,-4.453932060117248,1109404.4866125002,696.0007986111111,fav θ=0.9 W=1d no
fav θ=0.95 W=1d yes,40,40,-0.009426795863150195,-0.06214999015173353,0.018940352540374062,0.63,0.975,-0.3770718345260078,4,-0.05001128291510875,-0.5066410315761486,27,-1.0,2561902.8912509996,688.0008449074074,fav θ=0.95 W=1d yes
fav θ=0.93 W=7d both,338,230,-0.034107604142453965,-0.06423460917329281,-0.0065534318469294564,0.99425,0.9349112426035503,-11.528370200149439,23,-0.2613571499198243,-2.002770176959348,72,-12.296439331404262,1411857.7949919999,700.0008333333334,fav θ=0.93 W=7d both
fav θ=0.93 W=1d no,187,127,-0.03160790924352487,-0.06583253595693815,-0.0023107007681380074,0.9825,0.946524064171123,-5.910679028539151,16,-0.1937316244573585,-1.8506509993377784,61,-6.088662466584996,1075567.463129,696.0007986111111,fav θ=0.93 W=1d no
