label,n_trades,n_events,mean_ret,ci_lo,ci_hi,p_le0,hit_rate,total_pnl_per_$1_stakes,max_concurrent_stakes,ann_ret_on_capital,sharpe_ann_weekly,n_weeks,max_drawdown_$,median_market_volume,span_days,cell
mom δ=0.15 against hold=res,4896,4009,0.13408025844291666,0.09138849020548034,0.17662840177815745,0.0,0.42810457516339867,656.45694533652,398,0.5297202852979735,3.515930968692046,95,-42.75566513344154,112451.918343,1136.499988425926,mom δ=0.15 against hold=res
mom δ=0.15 against hold=7d,4896,4009,0.12418342667518704,0.08814559111285167,0.16082828812853184,0.0,0.47058823529411764,608.0020570017158,103,2.1963004348960244,5.005444384787669,91,-37.85775473091894,112451.918343,980.999849537037,mom δ=0.15 against hold=7d
mom δ=0.15 against hold=3d,4896,4009,0.10963965469855555,0.07994992815446551,0.13880350486104412,0.0,0.48713235294117646,536.795749404128,81,2.615021557683187,4.8153678137679465,89,-41.194974196394185,112451.918343,924.9998032407408,mom δ=0.15 against hold=3d
mom δ=0.1 against hold=3d,6148,5047,0.054371786876545036,0.0284641138807175,0.07989282693235719,0.0,0.46600520494469744,334.2777457169989,90,1.4656024401210945,3.2036432365443837,90,-80.98764805554453,121762.516271,924.9998032407408,mom δ=0.1 against hold=3d
mom δ=0.1 against hold=res,6148,5047,0.06318638551456639,0.024628732261073007,0.1001513510156116,0.00075,0.4256668835393624,388.46989814355413,490,0.2546154309532431,2.4151780390874467,96,-83.2126831627246,121762.516271,1136.499988425926,mom δ=0.1 against hold=res
mom δ=0.1 against hold=7d,6148,5047,0.0557806914188733,0.02328573431175775,0.08570410550014979,0.0,0.4521795705920625,342.93969084323305,140,0.868472817302297,3.188809696340996,94,-69.47723257532397,121762.516271,1029.5,mom δ=0.1 against hold=7d
mom δ=0.05 against hold=7d,7551,6230,0.028709231438371955,0.0015305967971396778,0.05477792605146274,0.02075,0.4527877102370547,216.78340659114664,178,0.4317899678897715,1.3580838982647054,95,-152.24287337093273,121506.78813,1029.5,mom δ=0.05 against hold=7d
mom δ=0.05 against hold=3d,7551,6230,0.01998189290541953,-0.001841053852015649,0.041771064734866345,0.0365,0.44312011654085554,150.88327332882287,116,0.5132563511614289,1.2302569529228105,95,-134.8784220588052,121506.78813,924.9998032407408,mom δ=0.05 against hold=3d
mom δ=0.05 against hold=res,7551,6230,0.027697464958663605,-0.006223675729808691,0.0601421325232904,0.05125,0.44431201165408557,209.14355790286888,591,0.113652878545486,1.125188942169775,96,-157.4792910139882,121506.78813,1136.499988425926,mom δ=0.05 against hold=res
mom δ=0.05 with hold=res,7551,6230,-0.019982268350088223,-0.045379078823778375,0.005927282635941818,0.9325,0.5556879883459145,-150.88610831151618,591,-0.08199459124671686,-0.8221360525534965,96,-184.57512553648996,121506.78813,1136.499988425926,mom δ=0.05 with hold=res
mom δ=0.05 with hold=7d,7551,6230,-0.031885391568372855,-0.05125412728398481,-0.012116479726058142,0.999,0.5097338100913786,-240.7665917327834,178,-0.47955976219756474,-2.070604805227632,95,-252.03064992440048,121506.78813,1029.5,mom δ=0.05 with hold=7d
mom δ=0.05 with hold=3d,7551,6230,-0.038744346617914434,-0.054981345728087896,-0.022499961082955267,1.0,0.4727850615812475,-292.55856131187187,116,-0.9951900987243779,-3.0751781089131183,95,-292.8301545645773,121506.78813,924.9998032407408,mom δ=0.05 with hold=3d
mom δ=0.1 with hold=3d,6148,5047,-0.07337049734579662,-0.08894196410846505,-0.057596901778810224,1.0,0.46193884189980483,-451.0818176819576,90,-1.97771649820994,-6.3005993986319435,90,-451.4254561529904,121762.516271,924.9998032407408,mom δ=0.1 with hold=3d
mom δ=0.1 with hold=7d,6148,5047,-0.07082355421684852,-0.08912159524525515,-0.051891701951512235,1.0,0.5146389069616135,-435.42321132518475,140,-1.1026814135411949,-5.74198638363286,94,-435.9827848024708,121762.516271,1029.5,mom δ=0.1 with hold=7d
mom δ=0.1 with hold=res,6148,5047,-0.06902229342578475,-0.09244702982944242,-0.04556320419100575,1.0,0.5743331164606376,-424.3490599817246,490,-0.2781317659313811,-3.02230201417888,96,-425.795166883963,121762.516271,1136.499988425926,mom δ=0.1 with hold=res
mom δ=0.15 with hold=3d,4896,4009,-0.11551645157203229,-0.1317180354921351,-0.09902199542504819,1.0,0.4417892156862745,-565.5685468966701,81,-2.7551893697446133,-7.752726120688406,89,-566.3903017245422,112451.918343,924.9998032407408,mom δ=0.15 with hold=3d
mom δ=0.15 with hold=7d,4896,4009,-0.1210089750761097,-0.1402735083166647,-0.10238279337706946,1.0,0.4977532679738562,-592.4599419726331,103,-2.1401572794502823,-7.73567810802285,91,-592.473515164558,112451.918343,980.999849537037,mom δ=0.15 with hold=7d
mom δ=0.15 with hold=res,4896,4009,-0.11637354007202522,-0.1403015155356416,-0.09358539181018952,1.0,0.5718954248366013,-569.7648521926354,398,-0.4597651105687067,-4.2493266900348825,95,-573.9280581368507,112451.918343,1136.499988425926,mom δ=0.15 with hold=res
